timestamp,download,upload,ping,bytes_sent,bytes_received
2021-02-10T09:20:00.940180Z,114526643.6492851,11807157.718746107,19.417,15196160,143535740
2021-02-10T09:30:00.951008Z,116917731.18472178,11773881.666872095,22.65,14827520,146843260
2021-02-10T09:40:00.993579Z,115289328.3690011,11538195.08712577,23.318,15024128,145771014
2021-02-10T09:50:00.996144Z,116645636.90663919,11558910.322490003,19.676,14835712,146138276
2021-02-10T10:00:00.985345Z,115170798.53750259,11792280.003467748,20.399,14901248,145133180
2021-02-10T10:10:00.964192Z,116144968.89758292,11782970.652179597,15.536,15155200,146484860
2021-02-10T10:20:01.137178Z,116760507.04925112,11881405.60436194,15.673,15237120,146764294
2021-02-10T10:30:01.021422Z,116488520.95126548,11466223.02226959,21.219,14704640,146208380
2021-02-10T10:40:00.849768Z,115562414.89779782,12024455.7648212,23.018,15130624,144972294
2021-02-10T10:50:01.026899Z,116153127.92524059,11627912.732397255,23.676,15081472,146423420
2021-02-10T11:00:00.858083Z,114089431.60107811,10143147.533426937,15.527,13434880,144412048
2021-02-10T11:10:00.922713Z,116314913.5012848,11867122.529174475,17.727,14991360,146628220
2021-02-10T11:20:00.947174Z,113932222.86558446,11820037.685041612,14.897,14942208,142691728
2021-02-10T11:30:00.867204Z,117225520.60852858,11826226.162821122,17.338,14876672,146869648
2021-02-10T11:40:02.097257Z,116690474.0970974,11404394.167721484,16.019,14483456,147037820
2021-02-10T11:50:01.886700Z,116140286.890973,11027446.564992225,20.804,14147584,146607740
2021-02-10T12:00:01.905433Z,117299864.58828528,12011465.402670557,18.258,15106048,147304060
2021-02-10T12:10:01.877905Z,116838251.68289307,11923087.390484538,22.539,14999552,146658940
2021-02-10T12:20:01.895838Z,116081434.40752648,11587087.864636876,19.813,14614528,145656996
2021-02-10T12:30:01.845898Z,117312112.21140991,11773583.29783379,20.035,14811136,146896630
2021-02-10T12:40:01.905383Z,115793687.17384227,11608412.734318597,23.432,14966784,146065020
2021-02-10T12:50:01.896987Z,116198469.74456808,11527029.815881241,22.664,14835712,146607740
2021-02-10T13:00:02.080040Z,115836664.16605511,11640790.440139515,22.667,14909440,147007100
2021-02-10T13:10:01.893769Z,117323191.46810676,12031851.10786402,20.068,15237120,147317254
2021-02-10T13:20:01.905436Z,116648622.14901026,11733312.435494296,22.222,15204352,147017340
2021-02-10T13:30:01.890927Z,117365756.43684913,11312874.097416924,22.176,14426112,147002768
2021-02-10T13:40:01.908921Z,116580168.11944835,11438364.337699186,23.177,14426112,147058300
2021-02-10T13:50:02.048019Z,115342145.49790746,12046380.249354849,23.242,15147008,145880700
2021-02-10T14:00:01.908020Z,116167955.02729332,11797321.139247373,15.537,14868480,146027014
2021-02-10T14:10:01.922153Z,116380846.39268729,11402031.012871346,23.84,14548992,146835974
2021-02-10T14:20:01.904857Z,116746594.02502891,11815038.68345253,23.327,15106048,147037820
2021-02-10T14:30:01.926540Z,116648977.00192235,11624373.433342228,23.513,15065088,146438784
2021-02-10T14:40:01.908625Z,117151314.76092061,11643751.039870067,19.836,14966784,146795014
2021-02-10T14:50:01.901899Z,115885971.21583526,11665162.653357936,20.691,15007744,146249340
2021-02-10T15:00:01.879151Z,116383257.642068,11541268.908423005,23.595,14835712,146300540
2021-02-10T15:10:01.940688Z,117224238.51025073,11621352.537860053,22.672,15122432,146963978
2021-02-10T15:20:01.908154Z,115701608.1805039,11794560.210456315,25.405,15253504,145573500
2021-02-10T15:30:01.926028Z,115996277.57297876,11262958.220561424,23.337,14352384,147027580
2021-02-10T15:40:01.827310Z,117192597.9244295,12027764.619450279,14.884,15138816,147001984
2021-02-10T15:50:01.812779Z,116915663.82762995,11777780.747024804,20.532,14786560,146603408
2021-02-10T16:00:01.878605Z,116684105.46597281,11377201.629054537,24.988,14589952,146853500
2021-02-10T16:10:01.927981Z,115640465.91982085,11931111.402287776,26.226,15032320,145852934
2021-02-10T16:20:01.906957Z,116121816.20585552,11902665.6565403,23.495,15048704,145890940
2021-02-10T16:30:01.958637Z,116128456.22287068,11659694.882033296,23.677,14991360,146484860
2021-02-10T16:40:01.905307Z,115905577.5156476,11694652.553483535,21.755,14688256,146290300
2021-02-10T16:50:01.903090Z,116253829.08650847,11578345.50176759,24.856,14868480,145607174
2021-02-10T17:00:01.906105Z,116750101.91203783,11533091.951064087,20.352,14819328,146367888
2021-02-10T17:10:01.922908Z,116337149.28689267,11396452.09995282,24.645,14704640,147078780
2021-02-10T17:20:01.847002Z,115362220.90213367,11871392.58754392,26.527,14942208,144651900
2021-02-10T17:30:01.907065Z,116622219.6160905,11709266.258959,23.471,14729216,145981722
2021-02-10T17:40:01.881613Z,115057651.86336377,11520532.329846011,21.27,14827520,145819260
2021-02-10T17:50:01.953963Z,117105406.96457183,11372992.745155007,23.433,14327808,146833020
2021-02-10T18:00:01.935554Z,115103333.86016047,11705172.608929412,22.778,15081472,146047494
2021-02-10T18:20:01.921661Z,110144851.53024109,11630668.775647223,25.879,14647296,138825340
2021-02-10T18:30:01.912675Z,113292961.55787343,10835906.827028628,25.845,13697024,142985734
2021-02-10T18:40:01.914766Z,116032034.24206597,10714334.573266793,26.593,13582336,145351174
2021-02-10T18:50:01.910910Z,116558026.05128278,11300372.504423385,22.819,14221312,146054780
2021-02-10T19:00:01.931904Z,115225321.14964812,5973762.35902437,26.009,7643136,145071740
2021-02-10T19:20:01.926009Z,116392461.23918763,11571347.995148951,24.32,14712832,145771014
2021-02-10T19:30:01.956228Z,113086599.90335472,6125837.431753316,26.748,8077312,143313414
2021-02-10T19:40:01.906501Z,114623407.25861545,10921132.072005982,22.939,14180352,145814928
2021-02-10T20:00:01.897824Z,114357688.1707081,11269845.563684884,24.076,14237696,144907900
2021-02-10T20:10:01.919462Z,115636085.49015664,5636885.6169392215,21.061,7380992,146003580
2021-02-10T20:20:01.923075Z,114395408.83518547,8904747.62521018,21.565,11436032,143910288
2021-02-10T20:30:02.106025Z,115777507.16402234,10548430.370492328,26.279,13451264,145733008
2021-02-10T20:40:00.886560Z,116001791.64485638,7050975.558818783,21.633,8986624,146047494
2021-02-10T21:00:01.935080Z,116031774.22679628,10686998.022435188,25.904,13631488,145914374
2021-02-10T21:10:01.941883Z,115571162.59352756,8164735.739392884,23.058,10526720,145235580
2021-02-10T21:20:01.930381Z,113933407.93790042,11027697.771356426,20.931,13950976,144395900
2021-02-10T21:30:01.953206Z,114349811.702358,8752032.676679043,25.989,11141120,144068220
2021-02-10T21:40:01.932014Z,116385515.5709883,8731550.296957863,25.593,11132928,146825734
2021-02-10T21:50:02.036020Z,116315653.62576735,11533919.772009932,23.68,14639104,145855888
2021-02-10T22:00:01.944572Z,87121837.01629709,9876149.949770276,26.355,12460032,109332762
2021-02-10T22:10:01.943584Z,116468460.89522268,5817315.392718244,22.632,7806976,146252294
2021-02-10T22:20:01.893290Z,116203825.7765388,6059645.397766753,24.744,7995392,145471100
2021-02-10T22:30:01.879980Z,115529800.88859537,5665591.980072929,23.611,7512064,144692860
2021-02-10T22:40:01.930619Z,114356003.14712888,7870462.921375302,26.623,10289152,143200774
2021-02-10T22:50:01.892459Z,116942076.80031444,5984245.452382205,25.358,7954432,146549254
2021-02-10T23:00:01.912071Z,116568960.33580817,7416556.823049621,23.549,9601024,145986054
2021-02-10T23:10:01.967045Z,115473192.74914192,5982119.993112067,26.024,7577600,144621180
2021-02-10T23:20:01.922024Z,108992866.79129446,5405445.945818674,22.002,7045120,136462854
2021-02-10T23:30:01.917346Z,116561026.67867787,6083945.617818963,27.238,7831552,146003580
2021-02-10T23:40:01.908013Z,110307963.50282617,5834000.317358363,25.944,7684096,138172934
2021-02-10T23:50:02.564011Z,114435792.95076977,4178681.2907026964,21.716,5685248,143853180
2021-02-11T00:00:02.473004Z,115794423.61073504,4492849.9690189855,19.292,6127616,145054214
2021-02-11T00:10:02.556421Z,115811927.33863834,5838834.627781684,22.778,7340032,145695002
2021-02-11T00:30:02.961061Z,115666257.00944805,6672891.308967107,23.709,8806400,145686140
